name,price,status,shipping,free_returns,items_sold
Mini Usb 2 Player PlayStation Games Crackhead Meth Weed Fight Pack 32 64 128 GB ,4369,Brand New,0,True,
Random Steam Game Key,99,Brand New,0,True,
"Pokemon Home COMPLETE Gen 1-8 Dex Shiny + Non, ALL DLC, Forms, GMax, Event",1599,Brand New,0,True,
For Nintendo N64 Mario Kart 64 Video Game Cartridge Console Card US Version,2499,Brand New,0,True,170
Mario Kart 8 Deluxe - Nintendo Switch,,Brand New,0,True,4004
Super Mario 64 For Nintendo N64 Video Game Cartridge Console Card Version,2466,Brand New,0,True,134
NINTENDO WII GAME LOT YOU PICK CHOOSE BUY 2 GET 1 50% OFF ALL GAMES PLAY TESTED!,2077,Pre-Owned,0,True,
Animal Crossing: New Horizons - Nintendo Switch,,Brand New,0,True,3824
Super Mario Odyssey Standard Edition - Nintendo Switch,,Brand New,0,True,5661
NINTENDO WII GAME LOT YOU PICK CHOOSE BUY 2 GET 1 50% OFF GAMES PLAY TESTED LOT2,733,Pre-Owned,0,True,
Luigi's Mansion 3 - Nintendo Switch,,Brand New,0,True,3037
Wii Play Wii Game,447,Pre-Owned,395,True,106
New Listing⚡Nook Mile Tickets and Bells ✅ONLINE NOW✅,500,Brand New,0,True,
ZACIAN 🌟 SHINY 🌟 FROM BDSP COMMEMORATION EVENT - POKEMON SWORD AND SHIELD,299,New (Other),0,True,113
Shiny Zacian Shiny Zamazenta Event Gamestop BOTH Codes! Pokemon Sword and Shield,340,Brand New,0,True,296
Pokemon Platinum Version Game Card for 3DS NDSI NDS NDSL US New,2099,Brand New,0,True,
Nintendo Gameboy 369 in 1 game card gameboy color gameboy advance GB GBA GBC,1599,Brand New,0,True,60
Just Dance 3 Wii Game,597,Pre-Owned,395,True,163
Pokemon 23in1 Game Card Nintendo ds dsi ds lite 2ds 3ds 2dsxl 3dsxl USA SELLER,3899,Brand New,0,True,225
"Super Mario 3D World + Bowsers Fury - Nintendo Switch, Nintendo Switch Lite",,Brand New,0,True,1033
NINTENDO WII GAME LOT YOU PICK CHOOSE BUY 2 GET 1 50% OFF GAMES PLAY TESTED LOT3,1877,Pre-Owned,0,True,
Mario Party Superstars - Nintendo Switch - On Hand Ready to Ship! ,5062,Brand New,0,True,905
Super Mario Bros. 3 - Nintendo NES Game Authentic,2749,Pre-Owned,295,True,267
Nintendo Wii Games! You Choose from Large Selection! $7.95 Each! Buy 2 Get 1 50%,795,Pre-Owned,395,True,34
GoldenEye 007 Game  For Nintendo 64 N64 Card Cartridge Console US  Version,2088,Brand New,0,True,
